object_id,title,description,dimensions,accession_number,detail_url,image_url,aligned_period,aligned_type,aligned_material,data_quality_score
69069,San Francisco,,,x1980-2358,https://artmuseum.princeton.edu/art/collections/69069,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03122,Qing dynasty (c. 1950),Unknown,Silver,0.65
69068,San Francisco,,,x1980-2357,https://artmuseum.princeton.edu/art/collections/69068,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03124,Qing dynasty (c. 1950),Unknown,Silver,0.65
69058,San Francisco,,,x1980-2347,https://artmuseum.princeton.edu/art/collections/69058,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03070,Qing dynasty (c. 1950),Unknown,Silver,0.65
69043,San Francisco,,,x1980-2332,https://artmuseum.princeton.edu/art/collections/69043,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03025,Qing dynasty (c. 1950),Unknown,Silver,0.65
69042,San Francisco,,,x1980-2331,https://artmuseum.princeton.edu/art/collections/69042,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03026,Qing dynasty (c. 1950),Unknown,Silver,0.65
69041,San Francisco,,,x1980-2330,https://artmuseum.princeton.edu/art/collections/69041,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03028,Qing dynasty (c. 1950),Unknown,Silver,0.65
69037,San Francisco,,,x1980-2326,https://artmuseum.princeton.edu/art/collections/69037,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03034,Qing dynasty (c. 1950),Unknown,Silver,0.65
69025,San Francisco,,,x1980-2314,https://artmuseum.princeton.edu/art/collections/69025,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA02985,Qing dynasty (c. 1950),Unknown,Silver,0.65
69014,San Francisco,,,x1980-2303,https://artmuseum.princeton.edu/art/collections/69014,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03004,Qing dynasty (c. 1950),Unknown,Silver,0.65
69002,"Gene Cornelius, San Francisco",,,x1980-2768,https://artmuseum.princeton.edu/art/collections/69002,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA02943,Qing dynasty (c. 1951),Unknown,Silver,0.65
68982,"Marin County, California",,,x1980-2747,https://artmuseum.princeton.edu/art/collections/68982,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA02980,Qing dynasty (c. 1951),Unknown,Silver,0.65
68979,"Marin County, California",,,x1980-2744,https://artmuseum.princeton.edu/art/collections/68979,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA02801,Qing dynasty (c. 1951),Unknown,Silver,0.65
68972,San Francisco,,,x1980-2737,https://artmuseum.princeton.edu/art/collections/68972,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA02815,Qing dynasty (c. 1951),Unknown,Silver,0.65
68955,San Francisco,,,x1980-2720,https://artmuseum.princeton.edu/art/collections/68955,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA02772,Qing dynasty (c. 1951),Unknown,Silver,0.65
